M;cardinality;g_set
{Ø, Ø, Ø, 01};2;{0, 1}
{Ø, Ø, 0, 01};2;{0, 1}
{Ø, Ø, 1, 01};2;{0, 1}
{Ø, Ø, 01, Ø};2;{0, 1}
{Ø, Ø, 01, 0};1;{1}
{Ø, Ø, 01, 1};2;{0, 1}
{Ø, Ø, 01, 01};2;{0, 1}
{Ø, 0, Ø, 01};2;{0, 1}
{Ø, 0, 0, 01};2;{0, 1}
{Ø, 0, 1, 01};2;{0, 1}
{Ø, 0, 01, Ø};2;{0, 1}
{Ø, 0, 01, 0};1;{1}
{Ø, 0, 01, 1};2;{0, 1}
{Ø, 0, 01, 01};2;{0, 1}
{Ø, 1, Ø, 01};2;{0, 1}
{Ø, 1, 0, 01};2;{0, 1}
{Ø, 1, 1, 01};2;{0, 1}
{Ø, 1, 01, Ø};2;{0, 1}
{Ø, 1, 01, 0};1;{1}
{Ø, 1, 01, 1};2;{0, 1}
{Ø, 1, 01, 01};2;{0, 1}
{Ø, 01, Ø, Ø};2;{0, 1}
{Ø, 01, Ø, 0};1;{1}
{Ø, 01, Ø, 1};2;{0, 1}
{Ø, 01, Ø, 01};2;{0, 1}
{Ø, 01, 0, Ø};2;{0, 1}
{Ø, 01, 0, 0};1;{1}
{Ø, 01, 0, 1};2;{0, 1}
{Ø, 01, 0, 01};2;{0, 1}
{Ø, 01, 1, Ø};2;{0, 1}
{Ø, 01, 1, 0};1;{1}
{Ø, 01, 1, 1};2;{0, 1}
{Ø, 01, 1, 01};2;{0, 1}
{Ø, 01, 01, Ø};2;{0, 1}
{Ø, 01, 01, 0};1;{1}
{Ø, 01, 01, 1};2;{0, 1}
{Ø, 01, 01, 01};2;{0, 1}
{0, Ø, Ø, 01};2;{0, 1}
{0, Ø, 0, 01};2;{0, 1}
{0, Ø, 1, 01};2;{0, 1}
{0, Ø, 01, Ø};2;{0, 1}
{0, Ø, 01, 0};1;{1}
{0, Ø, 01, 1};2;{0, 1}
{0, Ø, 01, 01};2;{0, 1}
{0, 0, Ø, 01};2;{0, 1}
{0, 0, 01, Ø};2;{0, 1}
{0, 1, Ø, 01};2;{0, 1}
{0, 1, 01, Ø};2;{0, 1}
{0, 01, Ø, Ø};2;{0, 1}
{0, 01, Ø, 0};1;{1}
{0, 01, Ø, 1};2;{0, 1}
{0, 01, Ø, 01};2;{0, 1}
{0, 01, 0, Ø};2;{0, 1}
{0, 01, 1, Ø};2;{0, 1}
{0, 01, 01, Ø};2;{0, 1}
{1, Ø, Ø, 01};1;{0}
{1, Ø, 0, 01};1;{0}
{1, Ø, 1, 01};1;{0}
{1, Ø, 01, Ø};1;{0}
{1, Ø, 01, 0};1;{0}
{1, Ø, 01, 1};1;{0}
{1, Ø, 01, 01};1;{0}
{1, 0, Ø, 01};1;{0}
{1, 0, 01, Ø};1;{0}
{1, 1, Ø, 01};1;{0}
{1, 1, 01, Ø};1;{0}
{1, 01, Ø, Ø};1;{0}
{1, 01, Ø, 0};1;{0}
{1, 01, Ø, 1};1;{0}
{1, 01, Ø, 01};1;{0}
{1, 01, 0, Ø};1;{0}
{1, 01, 1, Ø};1;{0}
{1, 01, 01, Ø};1;{0}
{01, Ø, Ø, Ø};2;{0, 1}
{01, Ø, Ø, 0};1;{1}
{01, Ø, Ø, 1};2;{0, 1}
{01, Ø, Ø, 01};2;{0, 1}
{01, Ø, 0, Ø};2;{0, 1}
{01, Ø, 0, 0};1;{1}
{01, Ø, 0, 1};2;{0, 1}
{01, Ø, 0, 01};2;{0, 1}
{01, Ø, 1, Ø};2;{0, 1}
{01, Ø, 1, 0};1;{1}
{01, Ø, 1, 1};2;{0, 1}
{01, Ø, 1, 01};2;{0, 1}
{01, Ø, 01, Ø};2;{0, 1}
{01, Ø, 01, 0};1;{1}
{01, Ø, 01, 1};2;{0, 1}
{01, Ø, 01, 01};2;{0, 1}
{01, 0, Ø, Ø};2;{0, 1}
{01, 0, Ø, 0};1;{1}
{01, 0, Ø, 1};2;{0, 1}
{01, 0, Ø, 01};2;{0, 1}
{01, 0, 0, Ø};2;{0, 1}
{01, 0, 1, Ø};2;{0, 1}
{01, 0, 01, Ø};2;{0, 1}
{01, 1, Ø, Ø};2;{0, 1}
{01, 1, Ø, 0};1;{1}
{01, 1, Ø, 1};2;{0, 1}
{01, 1, Ø, 01};2;{0, 1}
{01, 1, 0, Ø};2;{0, 1}
{01, 1, 1, Ø};2;{0, 1}
{01, 1, 01, Ø};2;{0, 1}
{01, 01, Ø, Ø};2;{0, 1}
{01, 01, Ø, 0};1;{1}
{01, 01, Ø, 1};2;{0, 1}
{01, 01, Ø, 01};2;{0, 1}
{01, 01, 0, Ø};2;{0, 1}
{01, 01, 1, Ø};2;{0, 1}
{01, 01, 01, Ø};2;{0, 1}
