M;cardinality;g_set
{Ø, 0, 1, 01};8;{0 0 0, 0 0 1, 0 1 0, 0 1 1, 1 0 0, 1 0 1, 1 1 0, 1 1 1}
{Ø, 0, 01, 1};8;{0 0 0, 0 0 1, 0 1 0, 0 1 1, 1 0 0, 1 0 1, 1 1 0, 1 1 1}
{Ø, 1, 0, 01};8;{0 0 0, 0 0 1, 0 1 0, 0 1 1, 1 0 0, 1 0 1, 1 1 0, 1 1 1}
{Ø, 1, 01, 0};4;{0 0 0, 0 0 1, 0 1 1, 1 0 1}
{Ø, 01, 0, 1};8;{0 0 0, 0 0 1, 0 1 0, 0 1 1, 1 0 0, 1 0 1, 1 1 0, 1 1 1}
{Ø, 01, 1, 0};4;{0 0 0, 0 0 1, 0 1 1, 1 0 1}
{0, Ø, 1, 01};8;{0 0 0, 0 0 1, 0 1 0, 0 1 1, 1 0 0, 1 0 1, 1 1 0, 1 1 1}
{0, Ø, 01, 1};8;{0 0 0, 0 0 1, 0 1 0, 0 1 1, 1 0 0, 1 0 1, 1 1 0, 1 1 1}
{0, 1, Ø, 01};8;{0 0 0, 0 0 1, 0 1 0, 0 1 1, 1 0 0, 1 0 1, 1 1 0, 1 1 1}
{0, 1, 01, Ø};8;{0 0 0, 0 0 1, 0 1 0, 0 1 1, 1 0 0, 1 0 1, 1 1 0, 1 1 1}
{0, 01, Ø, 1};8;{0 0 0, 0 0 1, 0 1 0, 0 1 1, 1 0 0, 1 0 1, 1 1 0, 1 1 1}
{0, 01, 1, Ø};8;{0 0 0, 0 0 1, 0 1 0, 0 1 1, 1 0 0, 1 0 1, 1 1 0, 1 1 1}
{1, Ø, 0, 01};4;{0 0 0, 0 0 1, 0 1 0, 0 1 1}
{1, Ø, 01, 0};4;{0 0 0, 0 0 1, 0 1 0, 0 1 1}
{1, 0, Ø, 01};4;{0 0 0, 0 0 1, 0 1 0, 0 1 1}
{1, 0, 01, Ø};4;{0 0 0, 0 0 1, 0 1 0, 0 1 1}
{1, 01, Ø, 0};4;{0 0 0, 0 0 1, 0 1 0, 0 1 1}
{1, 01, 0, Ø};4;{0 0 0, 0 0 1, 0 1 0, 0 1 1}
{01, Ø, 0, 1};8;{0 0 0, 0 0 1, 0 1 0, 0 1 1, 1 0 0, 1 0 1, 1 1 0, 1 1 1}
{01, Ø, 1, 0};4;{0 0 1, 0 1 0, 0 1 1, 1 1 1}
{01, 0, Ø, 1};8;{0 0 0, 0 0 1, 0 1 0, 0 1 1, 1 0 0, 1 0 1, 1 1 0, 1 1 1}
{01, 0, 1, Ø};8;{0 0 0, 0 0 1, 0 1 0, 0 1 1, 1 0 0, 1 0 1, 1 1 0, 1 1 1}
{01, 1, Ø, 0};4;{0 0 1, 0 1 0, 0 1 1, 1 1 1}
{01, 1, 0, Ø};8;{0 0 0, 0 0 1, 0 1 0, 0 1 1, 1 0 0, 1 0 1, 1 1 0, 1 1 1}
