M;cardinality;g_set
{{Ø, 0}, {0, 01}, {1, 0}};1;{0 1}
{{Ø, 0}, {0, 01}, {1, 01}};2;{0 1, 1 0}
{{Ø, 0}, {1, 0}, {1, 01}};1;{0 1}
{{Ø, 0}, {1, 0}, {01, 0}};1;{0 1}
{{Ø, 0}, {1, 0}, {01, 1}};1;{0 1}
{{Ø, 0}, {1, 01}, {01, 0}};2;{0 1, 1 0}
{{Ø, 1}, {0, 01}, {1, 0}};1;{0 1}
{{Ø, 1}, {1, 0}, {1, 01}};1;{0 1}
{{Ø, 1}, {1, 0}, {01, 0}};1;{0 1}
{{Ø, 1}, {1, 0}, {01, 1}};1;{0 1}
{{Ø, 1}, {1, 01}, {01, 0}};2;{0 1, 1 0}
{{Ø, 1}, {01, 0}, {01, 1}};2;{0 1, 1 0}
{{0, Ø}, {0, 01}, {1, 0}};1;{0 1}
{{0, Ø}, {0, 01}, {1, 01}};2;{0 1, 1 0}
{{0, Ø}, {1, 0}, {1, 01}};1;{0 1}
{{0, Ø}, {1, 0}, {01, 0}};1;{0 1}
{{0, Ø}, {1, 0}, {01, 1}};1;{0 1}
{{0, Ø}, {1, 01}, {01, 0}};2;{0 1, 1 0}
{{0, 01}, {1, Ø}, {1, 0}};1;{0 1}
{{1, Ø}, {1, 0}, {1, 01}};1;{0 1}
{{1, Ø}, {1, 0}, {01, 0}};1;{0 1}
{{1, Ø}, {1, 0}, {01, 1}};1;{0 1}
{{1, Ø}, {1, 01}, {01, 0}};2;{0 1, 1 0}
{{1, Ø}, {01, 0}, {01, 1}};2;{0 1, 1 0}
