M;cardinality;g_set
{{0, Ø, 02}, {1, 12, 0}};1;{2}
{{0, Ø, 02}, {1, 12, 01}};1;{2}
{{0, Ø, 02}, {2, 1, 01}};2;{0, 1}
{{0, Ø, 02}, {2, 01, 1}};1;{0}
{{0, Ø, 02}, {2, 01, 12}};1;{1}
{{0, Ø, 02}, {2, 12, 01}};2;{0, 1}
{{0, Ø, 02}, {01, Ø, 12}};3;{0, 1, 2}
{{0, Ø, 02}, {01, 0, 12}};2;{1, 2}
{{0, Ø, 02}, {01, 1, 12}};3;{0, 1, 2}
{{0, Ø, 02}, {01, 2, 12}};2;{0, 1}
{{0, Ø, 02}, {01, 01, 12}};2;{1, 2}
{{0, Ø, 02}, {01, 02, 12}};3;{0, 1, 2}
{{0, Ø, 02}, {01, 12, Ø}};2;{1, 2}
{{0, Ø, 02}, {01, 12, 0}};2;{1, 2}
{{0, Ø, 02}, {01, 12, 1}};1;{2}
{{0, Ø, 02}, {01, 12, 2}};3;{0, 1, 2}
{{0, Ø, 02}, {01, 12, 01}};2;{1, 2}
{{0, Ø, 02}, {01, 12, 02}};3;{0, 1, 2}
{{0, Ø, 02}, {01, 12, 12}};3;{0, 1, 2}
{{0, Ø, 02}, {01, 12, 012}};3;{0, 1, 2}
{{0, Ø, 02}, {01, 012, 12}};3;{0, 1, 2}
{{0, Ø, 02}, {02, 01, 12}};2;{1, 2}
{{0, Ø, 02}, {02, 12, 01}};2;{1, 2}
{{0, Ø, 02}, {12, Ø, 01}};2;{1, 2}
{{0, Ø, 02}, {12, 0, 1}};1;{2}
{{0, Ø, 02}, {12, 0, 01}};2;{1, 2}
{{0, Ø, 02}, {12, 1, 0}};2;{1, 2}
{{0, Ø, 02}, {12, 1, 01}};2;{1, 2}
{{0, Ø, 02}, {12, 2, 01}};1;{1}
