k,n,arity,quantity_of_operations,count,percent
2,1,1,1,2,0.125
2,1,2,1,110,0.4296875
2,1,3,1,52670,0.803680419921875
2,2,1,1,0,0.0
2,2,2,1,24,0.0003662109375
2,2,3,1,40824,0.0000095051
2,3,1,1,0,0.0000000000
2,3,2,1,24,0.0000014305
3,2,1,1,0,0.0000000000
2,1,2,2,26280,0.8051470588
2,2,2,2,16226,0.0000075559
3,1,1,2,8460,0.0646709883
2,1,1,3,396,0.7071428571
2,2,1,3,24,0.0000086846
